symbol,entry_time,exit_time,holding_days,shares,entry_price,exit_price,entry_cost,exit_cost,gross_pnl,net_pnl,return_pct,is_win
RELIANCE,2023-12-27 03:45:00,2024-01-16 03:45:00,20,61,1291.65,1389.28,118.17,127.14,5955.7,5710.4,0.0756,True
ICICIBANK,2023-12-27 03:45:00,2024-01-24 03:45:00,28,142,998.45,1028.94,212.63,219.2,4329.05,3897.21,0.0305,True
ICICIBANK,2024-01-16 03:45:00,2024-01-24 03:45:00,8,63,1006.6,1028.94,95.11,97.25,1406.93,1214.57,0.0222,True
INFY,2023-12-27 03:45:00,2024-01-24 03:45:00,28,75,1544.77,1659.07,173.76,186.68,8572.36,8211.92,0.074,True
INFY,2024-01-02 03:45:00,2024-01-24 03:45:00,22,27,1546.77,1659.07,62.63,67.2,3032.02,2902.18,0.0726,True
INFY,2024-01-09 03:45:00,2024-01-24 03:45:00,15,24,1542.67,1659.07,55.53,59.74,2793.58,2678.32,0.0755,True
RELIANCE,2023-12-27 03:45:00,2024-01-24 03:45:00,28,92,1291.65,1334.56,178.22,184.2,3947.89,3585.47,0.0332,True
RELIANCE,2024-01-02 03:45:00,2024-01-24 03:45:00,22,55,1293.15,1334.56,106.67,110.12,2277.61,2060.83,0.032,True
RELIANCE,2024-01-09 03:45:00,2024-01-24 03:45:00,15,46,1300.65,1334.56,89.73,92.1,1559.74,1377.91,0.0261,True
TCS,2023-12-27 03:45:00,2024-01-24 03:45:00,28,41,3800.9,3878.06,233.72,238.54,3163.58,2691.32,0.0203,True
TCS,2024-01-16 03:45:00,2024-01-24 03:45:00,8,1,3900.95,3878.06,5.85,5.82,-22.89,-34.56,-0.0059,False
HDFCBANK,2023-12-19 03:45:00,2024-02-06 03:45:00,49,235,825.41,722.41,290.91,254.69,-24204.73,-24750.34,-0.1248,False
HDFCBANK,2023-12-19 03:45:00,2024-02-13 03:45:00,56,33,825.41,695.63,40.85,34.44,-4282.92,-4358.21,-0.1572,False
HDFCBANK,2024-01-16 03:45:00,2024-02-13 03:45:00,28,83,836.92,695.63,104.18,86.62,-11727.17,-11917.97,-0.1688,False
HDFCBANK,2024-01-24 03:45:00,2024-02-13 03:45:00,20,187,690.47,695.63,193.64,195.16,964.35,575.54,0.0075,True
HDFCBANK,2024-01-30 03:45:00,2024-02-13 03:45:00,14,12,727.64,695.63,13.1,12.52,-384.14,-409.76,-0.044,False
ICICIBANK,2024-02-06 03:45:00,2024-02-13 03:45:00,7,116,1024.06,1005.5,178.16,174.99,-2153.51,-2506.66,-0.0181,False
RELIANCE,2024-02-06 03:45:00,2024-02-13 03:45:00,7,178,1442.57,1454.77,385.1,388.49,2171.84,1398.25,0.0085,True
TCS,2024-02-06 03:45:00,2024-02-13 03:45:00,7,66,3999.0,4123.39,395.83,408.28,8209.67,7405.55,0.0311,True
INFY,2024-02-06 03:45:00,2024-02-20 03:45:00,14,126,1687.59,1684.16,318.9,318.36,-432.92,-1070.18,-0.002,False
INFY,2024-02-13 03:45:00,2024-02-20 03:45:00,7,4,1683.84,1684.16,10.1,10.11,1.26,-18.94,0.0002,False
RELIANCE,2024-02-20 03:45:00,2024-02-27 03:45:00,7,270,1475.76,1482.28,597.58,600.42,1760.66,562.65,0.0044,True
TCS,2024-02-27 03:45:00,2024-03-05 03:45:00,7,98,4001.0,4059.97,588.05,596.91,5779.01,4594.05,0.0147,True
HDFCBANK,2024-02-27 03:45:00,2024-03-12 03:45:00,14,12,707.13,716.64,12.73,12.9,114.16,88.53,0.0135,True
ICICIBANK,2024-03-05 03:45:00,2024-03-12 03:45:00,7,3,1086.74,1076.51,4.89,4.85,-30.69,-40.43,-0.0094,False
RELIANCE,2024-03-05 03:45:00,2024-03-12 03:45:00,7,156,1506.53,1465.87,352.47,343.07,-6343.15,-7038.69,-0.027,False
INFY,2024-03-12 03:45:00,2024-03-19 03:45:00,7,107,1600.8,1591.55,256.89,255.49,-989.34,-1501.72,-0.0058,False
HDFCBANK,2024-02-27 03:45:00,2024-03-27 03:45:00,29,224,707.13,711.42,237.56,239.08,961.12,484.49,0.0061,True
ICICIBANK,2024-03-05 03:45:00,2024-03-27 03:45:00,22,3,1086.74,1083.16,4.89,4.88,-10.75,-20.52,-0.0033,False
TCS,2024-03-19 03:45:00,2024-03-27 03:45:00,8,27,4053.28,3886.56,164.13,157.43,-4501.44,-4823.0,-0.0411,False
ICICIBANK,2024-03-05 03:45:00,2024-04-02 03:45:00,28,18,1086.74,1093.9,29.34,29.54,128.87,70.0,0.0066,True
TCS,2024-03-19 03:45:00,2024-04-02 03:45:00,14,19,4053.28,3888.06,115.5,110.83,-3139.19,-3365.52,-0.0408,False
HDFCBANK,2024-02-27 03:45:00,2024-04-09 03:45:00,42,327,707.13,777.04,346.79,381.2,22859.87,22131.88,0.0989,True
HDFCBANK,2024-03-05 03:45:00,2024-04-09 03:45:00,35,1,711.36,777.04,1.07,1.17,65.68,63.45,0.0923,True
HDFCBANK,2024-04-02 03:45:00,2024-04-09 03:45:00,7,70,732.94,777.04,76.95,81.6,3086.65,2928.1,0.0602,True
TCS,2024-03-19 03:45:00,2024-04-09 03:45:00,21,49,4053.28,3982.01,297.87,292.73,-3492.11,-4082.71,-0.0176,False
ICICIBANK,2024-03-05 03:45:00,2024-04-16 03:45:00,42,35,1086.74,1070.01,57.04,56.19,-585.49,-698.72,-0.0154,False
INFY,2024-03-27 03:45:00,2024-04-16 03:45:00,20,129,1496.75,1450.27,289.57,280.67,-5995.08,-6565.33,-0.031,False
INFY,2024-04-02 03:45:00,2024-04-16 03:45:00,14,30,1485.59,1450.27,66.84,65.27,-1059.54,-1191.65,-0.0238,False
INFY,2024-04-09 03:45:00,2024-04-16 03:45:00,7,33,1490.74,1450.27,73.78,71.8,-1335.53,-1481.11,-0.0271,False
RELIANCE,2024-03-27 03:45:00,2024-04-16 03:45:00,20,51,1448.72,1452.62,110.81,111.14,198.86,-23.09,0.0027,False
ICICIBANK,2024-03-05 03:45:00,2024-04-23 03:45:00,49,153,1086.74,1099.45,249.37,252.37,1944.16,1442.43,0.0117,True
ICICIBANK,2024-03-19 03:45:00,2024-04-23 03:45:00,35,3,1078.99,1099.45,4.85,4.95,61.38,51.58,0.019,True
ICICIBANK,2024-04-09 03:45:00,2024-04-23 03:45:00,14,74,1092.5,1099.45,121.25,122.06,514.6,271.3,0.0064,True
INFY,2024-04-09 03:45:00,2024-04-23 03:45:00,14,79,1490.74,1442.28,176.62,170.94,-3828.85,-4176.42,-0.0325,False
RELIANCE,2024-03-27 03:45:00,2024-04-23 03:45:00,27,43,1448.72,1478.26,93.43,95.36,1270.07,1081.28,0.0204,True
RELIANCE,2024-04-02 03:45:00,2024-04-23 03:45:00,21,10,1484.74,1478.26,22.27,22.18,-64.81,-109.26,-0.0044,False
RELIANCE,2024-04-09 03:45:00,2024-04-23 03:45:00,14,167,1489.74,1478.26,373.12,370.37,-1917.83,-2661.31,-0.0077,False
TCS,2024-04-16 03:45:00,2024-04-23 03:45:00,7,49,3903.95,3875.11,286.89,284.87,-1413.13,-1984.9,-0.0074,False
